segment_name,PC1,PC2,PC3
Jenny Clone - Segment 1,132.4983756864439,19.395249951940706,-0.06663408468851319
Jenny Clone - Segment 2,-34.812033917891355,12.164385879428426,-9.893174490828015
Jenny Clone - Segment 3,11.266827939658432,-19.902513825592152,2.9556376276162584
Jenny Clone - Segment 4,-8.646317096428422,-1.3388939780299396,16.020645799916295
Jenny Clone - Segment 5,11.79162564173501,-7.159928051622784,0.007247287201863178
Jenny Clone - Segment 6,9.651660519833268,-7.223780393721591,-9.778164861181928
Jenny Clone - Segment 7,7.1500768286032965,-4.141337858825524,-0.13613751254424883
Jenny Clone - Segment 8,13.444822592722707,-3.371280188864271,4.234060391026646
Jenny Clone - Segment 9,1.4212688938899634,3.717457973193447,-5.888469554757488
Jenny Clone - Segment 10,6.674154144880004,-4.272410939464926,-1.7909621107762033
Jenny Clone - Segment 11,1.0676085158636521,0.3094007585476206,0.1515536173669478
Jenny Clone - Segment 12,6.636629777931005,-5.718148977216034,-4.20661181890182
Jenny Clone - Segment 13,-4.890988558453817,0.38459992118980435,3.081458121137863
Jenny Clone - Segment 14,-14.362515018918968,3.8523703285041773,2.2275184294091512
Jenny Clone - Segment 15,-16.59814325728238,4.316690269939453,0.7348907027390897
Jenny Clone - Segment 16,-17.431638810465348,3.7698992163606517,0.6368773411255706
Jenny Clone - Segment 17,-14.889700679099766,3.0717531214323945,0.02052933864178122
Jenny Clone - Segment 18,-14.298432588848765,2.3161066472601974,0.35915525127863207
Jenny Clone - Segment 19,-15.752509177638998,3.618392084700646,0.5179991822574557
Jenny Clone - Segment 20,-32.01791551002571,6.150708562799745,0.9753623783804211
Jenny Clone - Segment 21,-1.5215647495709894,-0.6999699666326551,-0.28781880059552106
Jenny Clone - Segment 22,-1.513044201608057,-0.6803144631265491,-0.29820576561812684
Jenny Clone - Segment 23,-1.4959764460538474,-0.6950717915624797,-0.30052076537078476
Jenny Clone - Segment 24,-1.50437986142366,-0.6857836994823343,-0.2894720584818049
Jenny Clone - Segment 25,-1.5499186246028895,-0.6378708357355309,-0.2196785428350987
Jenny Clone - Segment 26,-1.486680467304318,-0.6967103876842137,-0.24945985043123867
Jenny Clone - Segment 27,-1.4984022911429038,-0.7039197885865345,-0.24120901258583566
Jenny Clone - Segment 28,-1.4966474481088052,-0.6911589453528426,-0.2536976935426932
Jenny Clone - Segment 29,-1.54181492802231,-0.679953882676376,-0.2902908557232484
Jenny Clone - Segment 30,-1.5875508298585803,-0.7431916618275585,-0.2865403276914207
Jenny Clone - Segment 31,-1.523419609154598,-0.7454897375535064,-0.27677649570000756
Jenny Clone - Segment 32,-1.5362017497659364,-0.7099086016456219,-0.27053178377407716
Joel Clone - Segment 1,148.3876745703152,8.043551557716325,2.3370354239764453
Joel Clone - Segment 2,-37.97516690438648,18.425501221909318,-7.582772820687564
Joel Clone - Segment 3,9.90148206529707,-17.48333865988043,-3.7625485224796043
Joel Clone - Segment 4,-17.563894717896634,-0.9971961251809406,12.433272674649391
Joel Clone - Segment 5,-7.258240133611325,-2.8990882629376515,7.126635572570808
Joel Clone - Segment 6,10.185064004294222,-8.006037144290017,-7.233649631063412
Joel Clone - Segment 7,5.628026179446699,-4.637428569983906,-4.802661087232543
Joel Clone - Segment 8,10.584696172846119,-8.778355799282423,3.252347433331754
Joel Clone - Segment 9,10.845505658315274,-0.8421256287118705,1.039761330270706
Joel Clone - Segment 10,-1.6229151331798912,4.46633574147617,-0.49898406037679766
Joel Clone - Segment 11,3.3337151645916974,-4.322474117437858,-4.592181212396008
Joel Clone - Segment 12,-0.42645833577228304,0.758752900419379,0.49819472660917147
Joel Clone - Segment 13,9.068839722429805,-5.219826777633856,1.3475495344463788
Joel Clone - Segment 14,-14.095602913979986,3.536853610958168,2.219040741727636
Joel Clone - Segment 15,-16.842582857867452,4.141794298037798,0.6346920505759471
Joel Clone - Segment 16,-17.52016759508622,4.387900161443696,0.7074675724079948
Joel Clone - Segment 17,-15.344378626775153,3.2897797052486237,-0.4332889509917903
Joel Clone - Segment 18,-15.102747712475312,2.8425894167733845,0.7688556129266823
Joel Clone - Segment 19,-13.720810204615233,3.354216268669166,0.42993469164738934
Joel Clone - Segment 20,-32.247948192862005,6.388180059105818,1.1949518756318702
Joel Clone - Segment 21,-1.5102499557778157,-0.7197784055879194,-0.29654301356895574
Joel Clone - Segment 22,-1.5049808857455695,-0.7003987412386856,-0.2961620240779579
Joel Clone - Segment 23,-1.5058513277086532,-0.6990888900074922,-0.2958230382043155
Joel Clone - Segment 24,-1.5192935244082533,-0.6947121814427494,-0.27711733309824527
Joel Clone - Segment 25,-1.5525867413709304,-0.6400522776888686,-0.2182823878827505
Joel Clone - Segment 26,-1.4878412639487697,-0.7089932338598419,-0.25112874527812806
Joel Clone - Segment 27,-1.5005358436009282,-0.7412458900395722,-0.24490861061418254
Joel Clone - Segment 28,-1.4857199872506293,-0.7465628252137935,-0.2566680635316402
Joel Clone - Segment 29,-1.5223816288513534,-0.7345786251314249,-0.2855574739243729
Joel Clone - Segment 30,-1.5703066916888442,-0.7453202552615156,-0.2709000334912659
Joel Clone - Segment 31,-1.5124777165632601,-0.7401478770310652,-0.27043904656746987
Joel Clone - Segment 32,-1.5301882721688858,-0.7216133865257348,-0.29166918454487406
Joel OG - Segment 1,150.59410701093003,7.50423397226944,0.6165629517453669
Joel OG - Segment 2,-41.274565609874834,20.666265948509118,-3.5814108837047582
Joel OG - Segment 3,10.105670895431901,-18.651026091058142,-4.339529532410374
Joel OG - Segment 4,-16.023746941908865,0.4429474546150269,12.49983770781249
Joel OG - Segment 5,-10.055893644636933,-1.7226079060286528,5.396590149176609
Joel OG - Segment 6,6.977638548437909,-7.303236918921128,-7.618003271075973
Joel OG - Segment 7,7.5883539641860365,-5.712358189444178,-4.2912186816857965
Joel OG - Segment 8,10.915430503964172,-10.298577163332117,1.8559189803351963
Joel OG - Segment 9,8.390532798521523,-0.2322698849859353,1.7234841659500086
Joel OG - Segment 10,-0.8947181715228445,3.204529907811963,-0.5267738759531226
Joel OG - Segment 11,2.678626406894868,-4.32631630232417,-5.314022000501823
Joel OG - Segment 12,0.010041785164166176,1.1499825812978213,1.2813797126012265
Joel OG - Segment 13,7.062019471916757,-3.779091587303251,1.4200469990586257
Joel OG - Segment 14,-14.36293511044118,3.380243579341926,2.3071445610792085
Joel OG - Segment 15,-16.292601897838352,3.70339113338879,0.47630032075179307
Joel OG - Segment 16,-17.229531990331868,4.194053151876329,0.6509476754669092
Joel OG - Segment 17,-15.489152204524114,3.480622527232389,-0.2015489448910609
Joel OG - Segment 18,-15.56324300298628,3.0562580604160092,0.6784694408640701
Joel OG - Segment 19,-16.01521014850386,4.45654279496098,0.6464186062079398
Joel OG - Segment 20,-32.58008235734765,5.781345944721258,0.8390228263027808
Joel OG - Segment 21,-1.5064639986707002,-0.6986503191743285,-0.295428857021659
Joel OG - Segment 22,-1.504329043099288,-0.68829701720998,-0.2976960668738551
Joel OG - Segment 23,-1.5071200084761753,-0.6846377838529273,-0.2994630873536357
Joel OG - Segment 24,-1.510818742788021,-0.6932725186806737,-0.27815291361735106
Joel OG - Segment 25,-1.536725931081415,-0.6565605961501103,-0.217958841906257
Joel OG - Segment 26,-1.4837949375891022,-0.7077843330005804,-0.24911503631209708
Joel OG - Segment 27,-1.4960617222449994,-0.7208947815273898,-0.24388273865197374
Joel OG - Segment 28,-1.4847664232125022,-0.7153749623224774,-0.2546000170747834
Joel OG - Segment 29,-1.5278487686928552,-0.7164792360106482,-0.2805950761948541
Joel OG - Segment 30,-1.5798853495130705,-0.7433601179165678,-0.26933289252509607
Joel OG - Segment 31,-1.5227671077122114,-0.7205278731348774,-0.2725402495844636
Joel OG - Segment 32,-1.539089362285365,-0.6755614815469908,-0.287884212843489
