Song Title,Lyrics
5 Leaf Clover,"[Verse 1]
Well, I go to work every Monday
Get to do something I love
And I make it home every evening
To an angel God sent from above
Got an eight point on camera from last year
That this season looks like a ten
I got a barn with a fridge full of cold beer
On the weekend it's full of good friends

[Chorus]
I know I'm a lucky man, but I ain't sure why I am
'Cause it ain't like anyone deserves the world in the palm of their hand
Now I hit my knees, thankful as can be
But the one thing I can't get over
How'd a guy like me, who'd have been fine with three
Wind up with a five-leaf clover?

[Verse 2]
I got a half ton that's parked in the driveway
My dog wags his tail when he hears
I grew up in a good place to be from
My folks still got a bunch of good years

[Chorus]
Now I know I'm a lucky man, but I ain't sure why I am
'Cause it ain't like anyone deserves the world in the palm of their hand
Now I hit my knees, thankful as can be
But the one thing I can't get over
How'd a guy like me, who'd have been fine with three
Wind up with a five-leaf clover?
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
I know I'm a lucky man, but I ain't sure why I am
'Cause it ain't like anyone deserves the world in the palm of their hand
Now I hit my knees, thankful as can be
But the one thing I can't get over
How'd a guy like me, who'd have been fine with three
Wind up with a five-leaf clover?

[Outro]
How'd a guy like me, who could've wound up with weeds
Wind up with a five-leaf clover?1Embed"
Ain’t Far From It,"[Verse 1]
Give me a stone cold George Jones, whiskey, bent barstool night
I wanna fly like a honky tonk moth to that neon light
This highway burnin' me up, blues been weighin' me down
There's a hole in the wall needs, fillin' on the edge of town
I'm gonna floorboard that Ford straight toward my baby's house
She'll be shinin' like a million dollar diamond second she steps out
She'll be slippin' me sugar, and buddy, she ain't gonna stop
'Til we Bonnie and Clyde slide into that parking lot

[Chorus]
'Bout to light that fuse on a Friday night
Get to cuttin' loose on this wound up tight
Where twenty bucks buys guitars strummin'
Paychecks turn to cold beer buzzin'
All that leads to late night lovin'
We ain't there yet, but we ain't far from it

[Verse 2]
That Tele rippin' Mississippi, cover band's sure on point
She on the dance floor, good Lord, droppin' every jaw in the joint
When she flips that switch, I'm off like a rocket
Ain't no way to stop it

[Chorus]
When we light that fuse on a Friday night
Get to cuttin' loose on this wound up tight
Where twenty bucks buys guitars strumming
Paychecks turn to cold beer buzzin'
All that leads to late night lovin'
We ain't there yet, but we ain't far from it
'Bout to light that fuse on a Friday night
Get to cuttin' loose on this wound up tight
Where twenty bucks buys guitars strummin'
Paychecks turn to cold beer buzzin'
All that leads to late night lovin'
We ain't there yet, but we ain't far from it
No, we ain't there yet, but we ain't far from itSee Luke Combs LiveGet tickets as low as $78You might also likeEmbed"
All Over Again,"[Verse 1]
Feels so familiar
You walking in here
Wearing just what you know makes me weak
And I'm already ordering you a drink
Baby, and then we're
Gonna get out of here
Just like the last time and the time before
We're at your house and through the door

[Chorus]
And we're falling all over again
Like a flashback to way back when
Back when we were us
Couldn't get enough
But we both know how this ends
You can leave it up to me
To say things that I don't mean
And I'll leave it up to you
To turn ""I love you""
Into ""Boy, where you been?""
And just like that
Just as fast as we began
We're all over again

[Verse 2]
I'll think you're out of my system
At least 'til I miss ya
I'll start going through withdrawals
That's about the time you'll call
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
And we'll be falling all over again
Like a flashback to way back when
Back when we were us
Couldn't get enough
But we both know how this ends
You can leave it up to me
To say things that I don't mean
And I'll leave it up to you
To turn ""I love you""
Into ""Boy, where you been?""
And just like that
Just as fast as we began
We're all over again

[Bridge]
Well, I know where we'll wind up
'Cause trouble loves to find us
And I guess goodbye's just too tough
'Cause last time was the last time, but

[Chorus]
We're falling all over again
Like a flashback to way back when
Back when we were us
Couldn't get enough
But we both know how this ends
You can leave it up to me
To say things that I don't mean
And I'll leave it up to you
To turn ""I love you""
Into ""Boy, where you been?""
And just like that
Just as fast as we began
We're all over again
[Outro]
Oh, we're all over again
Well, I know where we'll wind up
And I guess goodbye's just too toughEmbed"
A Long Way,"[Verse 1]
Six beers and five guys and if I remember right, it was a
Wednesday when we got our buzz on for second hand six pack
Half smoked soft pack, light it up boys, take a drag
And when I fought that cough off everyone else thought I was so damn cool

[Pre-Chorus]
But my head was spinnin' like a Tilt-A-Whirl
Yeah man, it really rocked my world

[Chorus]
Back when everything seemed just a little bit stronger
Back when the weekend lasted a little longer
I can't tell you why they did, but things seemed to never end back then
Oh way back when, when a little went a long way

[Verse 2]
One girl, 45 bucks was all it took that night
Hit the steakhouse makeout and the movies way up in the back
Credits roll on pace,to make it all the way to second base
Tried to play it cool like it was nothin' new and she didn't have a clue

[Pre-Chorus]
But my head was spinnin' like a Tilt-A-Whirl
Yeah man, she really rocked my world
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Back when things seemed just a little bit stronger
Back when the weekend lasted a little longer
I can't tell you why they did, things seemed to never end back then
Oh way back when, when a little went a long way

[Chorus]
Back when everything seemed just a little bit stronger
Back when the weekend lasted a little longer
I can't tell you why they did, but things seemed to never end back then
Oh way back when, when a little went a long long way
A long wayEmbed"
Angels Workin’ Overtime,"[Verse 1]
I'm a 50 hour paycheck
Ain't slept a damn wink
Moth to a neon light
I'm a 9 to 5, 10 to 2
Shower in between the two
Let it ride kinda guy
'Cause I got my
Angels workin' overtime

[Chorus]
Punchin' that time clock
Wearin' them wings off
Wishin' I was someone else
Ridin' 'round crazy
Just tryin' to save me
Is puttin' 'em straight through hell
My mama's been praying
Daddy's been saying
""Son, how the hell you get by?""
'Cause I got my
Angels workin' overtime

[Verse 2]
I got some bar stool best friends
Little off the deep end
That's my kinda crowd
A little rough around the edges
Get a little reckless
Might get a little too loud
But we'll be fine
With our angels workin' overtime
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Punchin' that time clock
Wearin' them wings off
Wishin' I was someone else
Ridin' 'round crazy
Just tryin' to save me
Is puttin' 'em straight through hell
Yeah, my mama's been praying
Daddy's been saying
""Son, how the hell you get by?""
'Cause I got my
Angels workin' overtime
Come on

[Bridge]
Ooh, Gary sounds good on that steel
Come on, come on, Ben

[Chorus]
Punchin' that time clock
Wearin' them wings off
Wishin' I was someone else
Ridin' 'round crazy
Just tryin' to save me
Is puttin' 'em straight through hell
Yeah, my mama's been praying
Daddy's been saying
""Son, how the hell you get by?""
'Cause I got my
Angels workin' overtime
Oh, I got my
Angels workin' overtime
[Outro]
Time to clock in, boys
Come on
Angels workin' overtimeEmbed"
Any Given Friday Night,"[Verse 1]
Boys shine their trucks at the super wash station
Spin them Tire Wet wheels on the pavement
Done with that paycheck makin'
Twelve-inch kickers get to shakin'
Them girls get to paintin' on denim and makeup
Pourin' Tito's in a Route 44 cup
In between city limit signs
On any given Friday night

[Chorus]
Boys chase girls goin' thirty miles an hour
Circle up at the Dairy Queen
Later on, the wild gets louder
Like a rural route movie scene
In the nowhere dust, fallin' in love underneath an endless sky
Pick a map dot town, that's how it goes down
On any given Friday night

[Verse 2]
Ricky's at the red light, rockin' that Randall
Suzie's sittin' shotgun, drinkin' out the handle
Sight for sore small town eyes
On any given Friday night

[Chorus]
Boys chase girls goin' thirty miles an hour
Circle up at the Dairy Queen
Later on, the wild gets louder
Like a rural route movie scene
In the nowhere dust, fallin' in love underneath an endless sky
Pick a map dot town, that's how it goes down
On any given Friday night
On Friday night
See Luke Combs LiveGet tickets as low as $78You might also like[Instrumental Break]

[Bridge]
There's a fire in a field, a Jack and a Jill
Holdin' hands on a high hill side
Some gas in a tank, a Jenny and a Jake
On any given Friday night

[Chorus]
Boys chase girls goin' thirty miles an hour
Circle up at the Dairy Queen
Later on, the wild gets louder
Like a rural route movie scene
In the nowhere dust, fallin' in love underneath an endless sky
Pick a map dot town, that's how it goes down
On any given Friday night
Pick a map dot town, that's how it goes down
On any given Friday night

[Instrumental Outro]Embed"
A Song Was Born,"[Verse 1]
Haggard on a houseboat, tryin' not to sink
Wonderin' if he oughta float back or just stay here and drink
He found a guitar 'fore he found that Shasta shore
And a song was born

[Verse 2]
Willie on an airplane, brown bag and a pen
Flyin' high thinking 'bout being on the road again
Tried her out on a crowd down at John T. Floore's
A song was born

[Chorus]
Outta real life, outta real love
The best ones you can't make up
It just means more when you've been there before
Outta hard times, outta heartbreaks
Hitch a good rhyme to a mistake
Then you pour those feelings out over three chords
A song was born

[Verse 3]
I've wrote 'em in the Carolina mountains, on a Cabo beach
In a thousand rooms in Nashville, Tennessee
On a Bitterroot River, Montana back porch
A song was born
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Outta real life, outta real love
The best ones you can't make up
It just means more when you've been there before
Outta hard times, outta heartbreaks
Hitch a good rhyme to a mistake
Then you pour those feelings out over three chords
A song was born

[Instrumental Bridge]

[Chorus]
Outta real life, outta real love
The best ones you can't make up
It just means more when you've been there before
Outta hard times, outta heartbreaks
Hitch a good rhyme to a mistake
Then you pour those feelings out over three chords
Then you pour those feelings out over three chords
A song was born

[Outro]
A song was bornEmbed"
Back 40 Back,"[Verse 1]
""For sale by owner"" sign on Highway 59
A signal of the times, a turning of the page
There used to be nothing here but that nothing disappeared
The pond, the barn, the farm, the fields have long since been replaced
Asphalt parking where that ten pew, Pentecostal stood
Fast food, four lanes and a subdivided neighborhood

[Chorus]
The walls of the world are closin' in
The spreadin' city spreads us thin
We can't seem to make our ends meet the black
Nеver would've thought it wouldn't last
A way of life that timе moved past
What I wouldn't give to have the back forty back

[Verse 2]
Maybe I'm a sucker for knowing who lives next door
A view from my back porch, a pinch of peace and quiet
I can't get back the used to bes, so I hang on to the memories
Of when I could still look up and see the stars not street lights shining

[Chorus]
The walls of the world are closin' in
The spreadin' city spreads us thin
We can't seem to make our ends meet in the black
Never would've thought it wouldn't last
A way of life that time moved past
What I wouldn't give to have the back forty back
See Luke Combs LiveGet tickets as low as $78You might also like[Instrumental Bridge]

[Outro]
Now I get that progress has its place
And no regard for what it takes
Wish it would slow its pace and cut us all some slack
'Cause it's all changing way too fast
A way of life that time moved past
What I wouldn't give to have the back forty backEmbed"
Beautiful Crazy,"[Verse 1]
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild

[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

[Verse 2]
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

[Bridge]
She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me22Embed"
Beautiful Crazy (Acoustic),"[Verse 1]
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild

[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

[Verse 2]
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me

[Bridge]
She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah I'm such a fool for her
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to meEmbed"
Beautiful Crazy (Live),"[Verse 1: Luke Combs & Leon Bridges]
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eye
Well, it kinda scares me, the way that she drives me wild
She drives me wild

[Chorus: Luke Combs & Leon Bridges, Leon Bridges]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, but her crazy's beautiful to me

[Verse 2: Luke Combs]
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep

[Chorus: Luke Combs & Leon Bridges, Leon Bridges]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, but her crazy's beautiful to me

[Bridge: Luke Combs]
She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus: Luke Combs & Leon Bridges, Leon Bridges]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me
BeautifulEmbed"
Be Careful What You Wish For,"[Verse 1]
Couldn't wait to ride out of that one horse town
Didn't see no use in sticking around
I was green and busting at the seams to leave
I was sitting on G, waiting on O
The day I hit eighteen, I hit the road
Traded that county maintain for a four lane city street

[Pre-Chorus]
But sometimes things ain't what you think they're gonna be
What you want ain't always what you need

[Chorus]
Don't know what you got 'til it's gone
And you're out on your own
All you want is what you can't get back
Once you let it go, then you know what you have
Don't hold a candle to what you had
Sometimes what you think you'll find
It ain't quite what real life has in store
So be careful what you wish for

[Verse 2]
She was holding on just a little too tight
Talked a little too much about the rest of our lives
I broke her heart thinking freedom would set me free
Well sometimes things ain't what you think they're gonna be
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Don't know what you got 'til it's gone
And you're out on your own
All you want is what you can't get back
Once you let it go, then you know what you have
Don't hold a candle to what you had
Sometimes what you think you'll find
It ain't quite what real life has in store
So be careful what you wish for

[Bridge]
'Cause these city lights can't shine quite like the stars
I wish I could wish her back into my arms

[Chorus]
Don't know what you got 'til it's gone
And you're out on your own
All you want is what you can't get back
Once you let it go, then you know what you have
Don't hold a candle to what you had
Sometimes what you think you'll find
It ain't quite what real life has in store
And you can't get her back no more
So be careful what you wish for
Be careful what you wish for1Embed"
Beer Can,"[Verse 1]
I’ve been working this job 9 – 5
Minimum wage and overtime
But here comes a few days of unpaid vacation
And there ain’t no way José I'll waste them
'Cause there ain’t no better feeling than when

[Chorus]
I pick up a beer can and get to feeling like superman
Its Friday night y'all, here's the plan
I'm gonna throw back a couple and
Keep 'em glued to my right hand
Any flavor, size, or brand
Until the point where I can’t stand
No nothing picks me up like a beer can

[Verse 2]
I woke up at I pm
And introduced myself to my new girlfriend
And there’s a wrecking ball sized hole in the wall in the basement
I ain't got no clue how or who could have made it
Well all I know is shit hit the fan
And here we go again

[Chorus]
I pick up a beer can and get to feeling like superman
Its Saturday y'all, here's the plan
I'm gonna throw back a couple and
Keep 'em glued to my right hand
Any flavor, size, or brand
Until the point where I can’t stand
No nothing picks me up like a beer can
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
Well it's Sunday now and I'm freaking out
'Cause I can’t handle five days without

[Chorus]
Yeah, picking up a beer can and get to feeling like superman
It's Sunday, who gives a damn?
I'm gonna throw back a couple and
Keep 'em glued to my right hand
Any flavor, size, or brand
Until the point where I can’t stand
No nothing picks me up like a beer can

[Outro]
Like a beer can
No nothing picks me up like a beer can1Embed"
Beer Never Broke My Heart,"[Verse 1]
I've had a largemouth bass bust my line
A couple beautiful girls tell me goodbye
Trucks break down, dogs run off
Politicians lie, been fired by the boss

[Pre-Chorus]
It takes one hand
To count the things I can count on
No, there ain't much, man
That ain't never let me down

[Chorus]
Longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me that bars and this guitar
And longneck ice-cold beer never broke my heart

[Verse 2]
She was a Carolina blue jean baby
Fire in her eyes that drove me crazy
It was red taillights when she left town
If I didn't know then, I sure know now

[Chorus]
But longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me that bars and this guitar
And longneck ice-cold beer never broke my heart, yeah
See Luke Combs LiveGet tickets as low as $78You might also like[Pre-Chorus]
Well, it takes one hand
To count the things I can count on
But I got one hand
That's grippin' down on a cold one

[Chorus]
'Cause longneck ice-cold beer never broke my heart
Like diamond rings and football teams have torn this boy apart
Like a neon dream, it just dawned on me, that bars, and this guitar
And longneck ice-cold beer never broke my heart, no
It never broke my heart1Embed"
Better Back When,"[Verse 1]
We snuck in the back of that college town frat
'Cause they wouldn't let us in the front
Threw their Miller Time keg in a Chevrolet bed
And we let them horses run
Cut a path through the grass, yelling, ""Kiss my ass!""
With a middle finger in the wind
We laughed, we drank, every now and then I think
Man, I'd love to do that again

[Chorus]
Those were some good times
Those were the best nights
Thе freedom you feel when you're learning to fly
And thе song on the radio was singin' our lives
I can't say that the moon in the sky
Was shinin' any brighter than it is tonight
But it looked on fire back then
It probably wasn't, but it seemed a little better back when

[Verse 2]
Gravel lot spot by the porta J'ohns
'Bout a quarter mile from the door
Worked three weeks for a pair of cheap seats
To hear ""Never Wanted Nothing More""
We were feelin' that buzz from a summertime love
And a bottle tucked in a boot
It's crazy to think that looking back now
But back then, we never knew
See Luke Combs LiveGet tickets as low as $78You might also like[Chorus]
Those were some good times
Those were the best nights
The freedom you feel when you're learning to fly
And the song on the radio was singin' our lives
I can't say that the moon in the sky
Was shinin' any brighter than it is tonight
But it looked on fire back then
It probably wasn't, but it seemed a little better back when

[Bridge]
I ain't sayin' that right now ain't right where I wanna be
But I swear time adds a little shine to a long-gone memory

[Chorus]
Those were some good times
Those were the best nights
The freedom you feel when you're learning to fly
And the song on the radio was singin' our lives
I can't say that the moon in the sky
Was shinin' any brighter than it is tonight
But it looked on fire back then
It probably wasn't, but it seemed a little better back when

[Outro]
Yeah, it seemed a little better back whenEmbed"
Better Together,"[Verse 1]
A 40 HP Johnson on a flat bottom metal boat
Coke cans and BB guns, barbed wire and old fence posts
8-point bucks in autumn and freshly cut cornfields
One arm out the window and one hand on the wheel

[Chorus]
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here

[Verse 2]
Your license in my wallet when we go out downtown
Your lipstick's stained every coffee cup that I got in this house
The way you say, ""I love you, too"" is like rain on an old tin roof
And your hand fits right into mine like a needle in a groove

[Chorus]
Some things just go better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
See Luke Combs LiveGet tickets as low as $78You might also like[Bridge]
Sometimes we're oil and water
But I wouldn't have it any other way
And if I'm being honest
Your first and my last name

[Chorus]
Would just sound better together and probably always will
Like a cup of coffee and a sunrise, Sunday drives and time to kill
What's the point of this ol' guitar if it ain't got no strings?
Or pourin' your heart into a song that you ain't gonna sing?
It's a match made up in heaven, like good ol' boys and beer
And me, as long as you're right here
And me, as long as you're right here18Embed"
